id,name,school_college,url,is_submajor
international-security-norms-and-cooperation-sub-major-of-international-studies--majors-minors-html-international-securi,"International Security, Norms, and Cooperation (Sub-major of International Studies)","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#international_security_norms_and_cooperation_isnc-sub,True
international-studies--majors-minors-html-international-studies-maj,International Studies,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#international_studies-maj,False
italian--majors-minors-html-italian-maj,Italian,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#italian-maj,False
japanese-studies-sub-major-of-asian-studies--majors-minors-html-asian-studies-maj,Japanese Studies (Sub-major of Asian Studies),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#asian_studies-maj,True
jazz-contemporary-improvisation--undergraduate-degrees-minors,Jazz & Contemporary Improvisation,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/admissions/undergraduate/undergraduate-degrees-minors/,False
judaic-studies--majors-minors-html-judaic-studies-maj,Judaic Studies,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#judaic_studies-maj,False
korean-studies-sub-major-of-asian-studies--majors-minors-html-asian-studies-maj,Korean Studies (Sub-major of Asian Studies),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#asian_studies-maj,True
latin-american-and-caribbean-studies--majors-minors-html-latin-american-and-caribbean-studies-maj,Latin American and Caribbean Studies,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#latin_american_and_caribbean_studies-maj,False
latin-language-and-literature--majors-minors-html-latin-language-and-literature-maj,Latin Language and Literature,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#latin_language_and_literature-maj,False
latina-latino-studies--majors-minors-html-latina-latino-studies-maj,Latina/Latino Studies,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#latina_latino_studies-maj,False
law-justice-and-social-change-sub-major-of-sociology--majors-minors-html-law-justics-and-social-change-sub,"Law, Justice, and Social Change (Sub-major of Sociology)","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#law_justics_and_social_change-sub,True
learning-equity-and-problem-solving-for-the-public-good-leaps,"Learning, Equity, and Problem Solving for the Public Good (LEAPS)",Marsal Family School of Education,https://marsal.umich.edu/academics-admissions/leaps,False
linguistics--majors-minors-html-linguistics-maj,Linguistics,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#linguistics-maj,False
materials-science-and-engineering--undergraduate,Materials Science and Engineering,College of Engineering,https://mse.engin.umich.edu/undergraduate,False
mathematical-sciences-sub-major-of-mathematics--mathematical-sciences-html,Mathematical Sciences (Sub-major of Mathematics),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/math/undergraduates/major-and-minor-programs/mathematical-sciences.html,True
